"SEQN","SDDSRVYR","RIDSTATR","RIAGENDR","RIDAGEYR","RIDAGEMN","RIDRETH1","RIDRETH3","RIDEXMON","RIDEXAGM","DMQMILIZ","DMQADFC","DMDBORN4","DMDCITZN","DMDYRSUS","DMDEDUC3","DMDEDUC2","DMDMARTL","RIDEXPRG","SIALANG","SIAPROXY","SIAINTRP","FIALANG","FIAPROXY","FIAINTRP","MIALANG","MIAPROXY","MIAINTRP","AIALANGA","DMDHHSIZ","DMDFMSIZ","DMDHHSZA","DMDHHSZB","DMDHHSZE","DMDHRGND","DMDHRAGE","DMDHRBR4","DMDHREDU","DMDHRMAR","DMDHSEDU","WTINT2YR","WTMEC2YR","SDMVPSU","SDMVSTRA","INDHHIN2","INDFMIN2","INDFMPIR"
75736,8,2,1,0,5,3,3,2,5,,,1,1,,,,,,1,1,2,1,2,2,,,,,7,7,3,3,0,1,42,1,5,1,5,16190.381201,15597.47969,2,107,14,14,2.24
75737,8,2,2,20,,1,1,1,,2,,1,1,,,4,5,2,1,2,2,1,2,2,1,2,2,1,7,7,2,0,0,2,25,1,5,5,,23089.077067,25746.30934,2,118,6,6,0.68
75738,8,2,1,47,,2,2,2,,2,,2,1,6,,5,1,,1,2,2,1,2,2,1,2,2,1,7,6,0,3,2,1,70,2,1,2,,28521.605745,29987.646879,2,107,14,10,2.19
75739,8,2,1,20,,3,3,2,,2,,1,1,,,3,5,,1,2,2,1,2,2,1,2,2,1,4,1,0,0,0,2,20,1,4,5,,63966.408313,65229.455278,1,105,15,4,1.48
75740,8,2,2,5,,4,4,2,65,,,1,1,,,,,,1,1,2,1,2,2,,,,,4,4,2,0,0,1,37,1,4,1,4,15496.764111,15963.633328,2,108,7,7,1.8
75741,8,2,2,11,,3,3,2,140,,,1,1,,5,,,,1,1,2,1,2,2,1,2,2,,7,7,0,4,0,1,44,1,4,1,5,19758.073494,20141.330186,2,107,7,7,0.88
75742,8,2,1,37,,2,2,2,,2,,2,2,4,,4,1,,1,2,2,1,2,2,1,2,2,1,4,4,1,1,0,1,37,2,4,1,4,36372.399546,39201.177985,1,104,10,10,2.97
75743,8,2,2,36,,5,6,1,,2,,2,2,3,,1,1,2,1,2,1,1,2,1,,,,,7,7,0,4,0,2,36,2,1,1,,25723.357354,26201.462316,2,115,2,2,0.26
75744,8,2,2,72,,3,3,2,,2,,1,1,,,3,3,,1,2,2,1,2,2,1,2,2,,1,1,0,0,1,2,72,1,3,3,,54972.041423,57075.555989,2,107,4,4,1.31
75745,8,2,2,44,,5,6,2,,2,,2,2,3,,5,1,2,1,2,1,1,2,1,1,2,1,3,3,3,0,1,0,2,44,2,5,1,5,19474.498093,21068.668782,2,104,7,7,1.82
75746,8,2,2,2,,5,7,2,27,,,1,1,,,,,,1,1,2,1,2,2,,,,,5,5,2,1,0,1,37,1,5,1,5,7371.955397,7738.821333,2,104,14,14,3.22
75747,8,2,1,18,,5,6,2,221,2,,1,1,,15,,,,1,2,2,1,2,2,1,2,2,1,4,4,0,1,0,1,43,2,5,1,5,11529.091788,11300.580695,1,110,14,14,3.18
75748,8,2,2,80,,5,6,1,,2,,1,1,,,5,2,,1,2,2,1,2,2,1,2,2,,2,1,0,0,2,2,80,1,5,2,,17876.236819,21592.56702,2,118,9,7,3.08
75749,8,2,1,69,,2,2,2,,1,2,2,1,8,,3,3,,1,2,2,1,2,2,2,2,2,2,1,1,0,0,1,1,69,2,3,3,,18814.734899,18786.386442,2,112,2,2,0.72
75750,8,2,1,70,,3,3,2,,2,,1,1,,,5,1,,1,2,2,1,2,2,1,2,2,,2,2,0,0,2,1,70,1,5,1,5,81342.875018,81160.421136,2,113,15,15,5
75751,8,2,1,47,,3,3,2,,2,,1,1,,,5,1,,1,2,2,1,2,2,1,2,2,1,4,4,0,2,0,1,47,1,5,1,,109286.615537,112015.4657,1,107,15,15,5
75752,8,2,2,11,,3,3,2,141,,,1,1,,4,,,,1,1,2,1,2,2,1,2,2,1,6,6,0,4,0,1,31,1,4,1,2,33498.961645,35948.97807,1,114,5,5,0.63
75753,8,2,1,19,,1,1,1,238,2,,1,1,,13,,,,1,2,2,1,2,2,1,2,2,1,4,4,0,1,0,2,48,1,4,1,5,15326.45686,16360.851614,1,116,15,15,5
75754,8,2,1,55,,3,3,2,,1,1,1,1,,,4,1,,1,2,2,1,2,2,1,2,2,1,3,3,0,1,0,1,55,1,4,1,4,22060.326312,22247.803172,1,109,3,3,0.61
75755,8,2,2,41,,3,3,1,,2,,1,1,,,5,1,2,1,2,2,1,2,2,1,2,2,1,4,4,0,2,0,2,41,1,5,1,,91249.402337,94812.360713,2,113,15,15,5
75756,8,2,2,5,,3,3,2,70,,,2,1,2,,,,,1,1,1,1,2,1,,,,,5,5,2,1,0,2,38,2,2,1,2,11501.114522,12042.021538,2,110,12,12,
75757,8,2,2,7,,1,1,1,92,,,1,1,,1,,,,1,1,2,1,2,2,,,,,6,6,1,3,0,1,30,1,2,1,3,9872.274383,10190.752111,1,118,6,6,0.84
75758,8,2,1,47,,5,6,2,,2,,2,1,6,,5,1,,1,2,2,1,2,2,1,2,2,1,4,4,0,2,0,2,45,2,5,1,5,26373.741511,27565.280684,1,105,15,15,5
75759,8,2,1,11,,2,2,2,144,,,1,1,,5,,,,1,1,2,1,2,2,1,2,2,1,4,4,0,2,0,1,57,1,4,1,5,19712.374348,20611.528458,2,107,15,15,4.19
75760,8,2,2,12,,5,6,1,153,,,1,1,,6,,,,1,1,2,1,2,2,1,2,2,1,7,7,0,2,1,2,42,2,3,1,3,5874.20993,6366.734967,1,118,15,15,3.05
75761,8,2,2,6,,4,4,2,75,,,1,1,,0,,,,1,1,2,,,,,,,,5,5,0,2,0,2,58,,,1,,12557.997579,12407.085115,2,113,,,
75762,8,2,2,61,,3,3,2,,2,,1,1,,,2,3,,1,2,2,1,2,2,1,2,2,1,2,2,0,0,1,2,61,1,2,3,,98633.168689,102772.50884,1,107,10,10,4.26
75763,8,2,1,32,,2,2,1,,2,,2,1,6,,4,1,,1,2,2,1,2,2,1,2,2,1,4,4,0,2,0,1,32,2,4,1,3,52907.76226,53539.260407,2,115,6,6,1.17
75764,8,2,2,2,,2,2,1,34,,,1,1,,,,,,1,1,2,1,2,2,,,,,2,2,1,0,0,2,27,1,4,5,,10390.377595,11063.125046,2,114,2,2,0.45
75765,8,2,2,7,,4,4,1,91,,,1,1,,1,,,,1,1,2,1,2,2,,,,,4,4,1,1,0,2,34,1,4,1,4,10525.096636,10940.135424,1,108,14,14,3.82
75766,8,2,2,16,,3,3,2,195,,,1,1,,9,,,,1,2,2,1,2,2,1,2,2,1,3,3,0,1,0,2,52,1,4,1,4,66434.399628,68047.604801,2,107,4,4,0.99
75767,8,2,2,9,,1,1,2,113,,,1,1,,2,,,,2,1,2,2,2,2,1,2,2,1,4,4,0,2,0,1,34,2,3,1,3,12197.77574,12591.273708,2,110,7,7,1.47
75768,8,2,1,46,,5,6,2,,2,,2,2,7,,3,1,,1,2,1,1,2,1,,,,,4,4,2,0,0,1,46,2,3,1,,23050.933517,24300.1948,2,112,10,10,2.94
75769,8,2,1,72,,3,3,2,,1,1,1,1,,,2,1,,1,2,2,1,2,2,1,2,2,,5,5,0,0,3,1,72,1,2,1,2,51435.39666,52278.753921,2,113,15,15,4.48
75770,8,2,2,10,,3,3,2,127,,,1,1,,3,,,,1,1,2,1,2,2,1,2,2,1,5,5,0,3,0,1,22,1,3,5,,29357.00911,29740.680137,1,114,2,2,0.31
75771,8,2,1,70,,3,3,1,,2,,1,1,,,2,1,,1,2,2,1,2,2,2,2,2,,2,2,0,0,2,1,70,1,2,1,5,66938.724573,68036.28118,1,113,12,12,
75772,8,2,2,15,,3,3,1,182,,,1,1,,8,,,,1,1,2,1,2,2,1,2,2,1,5,5,0,3,0,2,45,1,5,1,5,52627.175138,53905.103916,1,116,15,15,5
75773,8,2,2,19,,3,3,1,229,2,,1,1,,9,,,,1,2,2,1,2,2,1,2,2,1,4,4,2,0,0,1,31,1,2,6,,27525.438182,28193.82955,1,115,6,6,1.27
75774,8,2,1,80,,3,3,2,,1,1,1,1,,,5,1,,1,2,2,1,2,2,1,2,2,,1,1,0,0,1,1,80,1,5,1,,22208.518877,24769.485665,2,105,4,4,1.29
75775,8,2,1,41,,3,3,2,,2,,2,2,2,,2,1,,1,2,1,1,2,1,,,,,5,5,2,1,0,2,38,2,2,1,2,14354.852245,15388.786913,2,110,12,12,
75776,8,2,2,21,,3,3,2,,2,,1,1,,,4,1,1,1,2,2,1,2,2,1,2,2,1,2,2,0,0,0,2,21,1,4,1,4,35562.079797,36654.067421,2,107,5,5,1.53
75777,8,2,1,9,,5,6,2,113,,,1,1,,3,,,,1,1,2,1,2,2,1,2,2,1,4,4,0,1,0,1,48,2,5,1,5,10172.677142,10758.12789,1,110,15,15,4.25
75778,8,1,1,62,,5,6,,,2,,2,1,7,,1,1,,1,2,1,1,2,1,,,,,4,4,0,0,1,2,26,2,4,5,,14169.219207,0,1,118,6,6,1.27
75779,8,2,1,29,,3,3,1,,2,,1,1,,,3,6,,1,2,2,1,2,2,1,2,2,1,1,1,0,0,0,1,29,1,3,6,,89270.728172,96340.503669,2,116,77,77,
75780,8,2,1,66,,3,3,1,,2,,1,1,,,5,5,,1,2,2,1,2,2,,,,,1,1,0,0,1,1,66,1,5,5,,30260.947389,31412.111062,2,116,5,5,1.71
75781,8,2,1,65,,3,3,2,,2,,1,1,,,5,1,,1,2,2,1,2,2,1,2,2,1,2,2,0,0,2,2,65,1,4,1,5,78031.282026,80868.779838,2,104,15,15,5
75782,8,2,1,6,,1,1,1,78,,,1,1,,0,,,,2,1,2,2,2,2,,,,,7,7,0,4,0,2,37,2,1,1,9,14100.149246,15915.962683,2,111,77,77,
75783,8,1,1,55,,5,6,,,2,,2,1,7,,4,1,,1,2,2,1,2,2,,,,,2,2,0,0,0,1,55,2,4,1,,14497.659262,0,2,104,7,7,2.42
75784,8,2,1,57,,2,2,2,,1,1,1,1,,,4,1,,1,2,2,1,2,2,1,2,2,1,4,4,0,2,0,1,57,1,4,1,5,21935.420532,23062.924681,2,107,15,15,4.19
75785,8,2,2,22,,4,4,1,,2,,1,1,,,4,1,2,1,2,2,1,2,2,1,2,2,1,4,4,0,0,0,2,57,1,3,1,3,24410.976201,24402.257733,2,114,10,10,2.94
75786,8,2,2,54,,5,7,2,,2,,1,1,,,4,3,,1,2,2,1,2,2,1,2,2,1,4,1,0,3,0,2,54,1,4,3,,20099.497744,21211.575384,2,113,6,6,2.14
75787,8,2,1,72,,3,3,2,,2,,1,1,,,3,1,,1,2,2,1,2,2,1,2,2,,3,3,0,0,1,1,72,1,3,1,3,16248.394194,16514.809972,1,113,13,13,
75788,8,2,2,50,,3,3,2,,2,,1,1,,,5,1,,1,2,2,1,2,2,1,2,2,1,3,3,0,1,0,2,50,1,5,1,5,62169.911236,65609.687149,1,104,15,15,5
75789,8,2,1,58,,3,3,2,,2,,1,1,,,3,1,,1,2,2,1,2,2,1,2,2,1,2,2,0,0,0,2,50,1,3,1,3,112942.330619,118943.806246,1,110,15,15,5
75790,8,2,2,28,,1,1,1,,2,,1,1,,,4,1,2,1,2,2,1,2,2,1,2,2,1,5,5,2,0,1,2,65,2,4,2,,19370.330115,21599.586232,1,118,14,14,2.87
75791,8,2,2,12,,4,4,1,150,,,1,1,,7,,,,1,1,2,1,2,2,1,2,2,1,7,7,0,4,0,2,56,1,5,1,5,16113.411942,15885.940198,2,108,15,15,3.24
75792,8,2,1,42,,3,3,1,,2,,1,1,,,4,1,,1,2,2,1,2,2,1,2,2,1,4,4,1,0,1,1,42,1,4,1,4,20684.807364,21201.300071,2,106,7,7,1.68
75793,8,2,2,2,,3,3,1,25,,,1,1,,,,,,1,1,2,1,2,2,,,,,5,5,2,1,0,1,30,1,3,6,,36371.500623,37218.140498,2,109,9,9,2.15
75794,8,2,2,8,,4,4,1,101,,,1,1,,2,,,,1,1,2,1,2,2,1,2,2,1,4,4,0,2,0,2,47,2,5,1,,10174.260081,10575.464243,1,108,15,15,5
75795,8,2,1,79,,1,1,1,,2,,2,1,9,,1,1,,2,1,2,2,2,2,2,2,2,,2,2,0,0,2,2,71,2,1,1,1,10335.853617,10691.348313,1,106,5,5,1.29
75796,8,2,2,14,,4,4,1,172,,,1,1,,8,,,,1,1,2,1,2,2,1,2,2,1,5,5,1,2,0,2,36,1,3,5,,13294.291312,13025.252178,1,112,6,6,1.16
75797,8,2,2,47,,3,3,2,,2,,1,1,,,4,3,,1,2,2,1,2,2,1,2,2,1,3,3,0,1,0,2,47,1,4,3,,92098.197437,94993.198262,1,110,14,14,4.61
75798,8,2,1,9,,1,1,1,113,,,1,1,,3,,,,2,1,2,2,2,2,1,2,2,1,6,6,2,2,0,1,38,2,2,1,3,15355.102872,15510.834796,2,111,7,7,1.16
75799,8,2,2,22,,3,3,1,,2,,1,1,,,4,1,2,1,2,2,1,2,2,1,2,2,1,3,3,1,0,0,1,25,1,4,1,4,38238.736245,39129.94997,2,106,6,6,1.52
75800,8,2,1,9,,1,1,1,118,,,2,2,3,3,,,,2,1,2,1,2,2,1,2,2,1,6,6,0,4,0,1,45,2,2,1,1,16717.361927,16886.909924,1,111,5,5,0.7
75801,8,2,1,3,,1,1,1,40,,,1,1,,,,,,2,1,2,1,2,2,,,,,6,6,1,1,0,2,40,2,2,6,,14503.129658,14977.654838,2,114,5,5,0.67
75802,8,2,1,15,,1,1,1,192,,,1,1,,11,,,,2,1,2,1,2,2,1,2,2,1,6,6,0,2,0,1,50,2,1,1,3,10375.157775,10147.603888,2,118,12,12,
75803,8,2,1,40,,4,4,2,,2,,1,1,,,3,5,,1,2,2,1,2,2,,,,,6,6,0,3,0,2,35,1,4,6,,20498.91548,21123.949617,1,104,6,6,0.95
75804,8,2,1,0,8,3,3,1,8,,,1,1,,,,,,1,1,2,1,2,2,,,,,3,3,1,0,0,1,35,1,5,6,,13129.412871,12648.605864,2,106,15,15,5
75805,8,2,2,53,,3,3,2,,2,,1,1,,,2,4,,1,2,2,1,2,2,1,2,2,1,2,2,0,1,0,2,53,1,2,4,,24209.531507,24987.8772,2,113,5,5,1.34
75806,8,2,1,7,,3,3,2,94,,,2,2,2,2,,,,1,1,1,1,2,1,,,,,5,5,2,1,0,2,38,2,2,1,2,11047.288285,11573.872917,2,110,12,12,
75807,8,2,2,32,,3,3,2,,2,,1,1,,,3,1,2,1,2,2,1,2,2,1,2,2,1,4,4,2,0,0,2,32,1,3,1,4,69839.334304,73930.362056,2,107,14,14,3.27
75808,8,2,1,75,,3,3,2,,2,,1,1,,,3,1,,1,2,2,1,2,2,1,2,2,,2,2,0,0,2,1,75,1,3,1,3,19952.64,19613.635236,2,113,12,12,
75809,8,2,1,13,,3,3,2,159,,,1,1,,6,,,,1,1,2,1,2,2,1,2,2,1,4,4,0,2,0,2,40,1,3,1,5,66076.248699,65605.317309,1,113,14,14,3.82
75810,8,2,1,7,,3,3,2,96,,,1,1,,1,,,,1,1,2,1,2,2,,,,,4,4,0,2,0,1,40,1,5,1,5,57840.91455,58433.282819,1,105,15,15,5
75811,8,2,2,8,,1,1,2,102,,,1,1,,2,,,,1,1,2,1,2,2,1,2,2,1,6,6,1,2,1,2,36,1,2,4,,13601.521831,13540.067243,2,112,7,7,1.25
75812,8,1,2,1,13,3,3,,,,,1,1,,,,,,1,1,2,1,2,2,,,,,4,4,2,0,0,1,35,1,4,1,4,39975.754956,0,2,111,15,15,5
75813,8,2,2,6,,4,4,2,82,,,1,1,,0,,,,1,1,2,1,2,2,,,,,7,7,1,4,0,2,56,1,3,3,,8773.306124,8667.875204,2,108,5,5,0.48
75814,8,2,1,28,,3,3,2,,2,,1,1,,,4,5,,1,2,2,1,2,2,1,2,2,1,1,1,0,0,0,1,28,1,4,5,,28125.481489,30352.872751,1,109,1,1,0.04
75815,8,2,1,7,,5,7,2,88,,,1,1,,1,,,,1,1,2,1,2,2,,,,,2,2,0,1,0,2,37,1,5,5,,9377.712866,9283.191853,2,113,7,7,2.54
75816,8,2,2,17,,5,6,2,214,2,,1,1,,12,,,,1,2,2,1,2,2,1,2,2,1,5,5,1,2,0,2,49,2,5,3,,11690.923303,12478.768307,2,112,9,9,2.15
75817,8,2,2,53,,5,6,1,,2,,2,1,5,,1,1,,1,2,1,1,2,1,,,,,5,5,0,1,0,1,50,2,2,1,1,14309.982874,14353.392135,2,118,8,8,1.81
75818,8,2,2,6,,4,4,1,79,,,1,1,,1,,,,1,1,2,1,2,2,,,,,2,2,0,1,0,2,32,1,5,5,,10883.876948,11884.818008,2,114,6,6,1.91
75819,8,2,1,20,,3,3,2,,2,,1,1,,,3,5,,1,2,2,1,2,2,1,2,2,1,5,5,0,1,0,2,52,2,5,1,3,112158.516703,117245.984689,1,105,8,8,1.81
75820,8,2,2,43,,5,6,1,,2,,2,1,4,,4,1,2,1,2,2,1,2,2,1,2,2,1,4,4,0,2,0,1,45,2,5,1,4,19326.787997,20125.91733,1,112,15,15,5
75821,8,1,1,25,,5,6,,,2,,2,1,6,,5,5,,1,2,2,1,2,2,,,,,4,4,0,1,0,1,25,2,5,5,,22215.675939,0,2,110,10,10,2.94
75822,8,2,2,34,,3,3,1,,2,,2,1,5,,5,1,2,1,2,2,1,2,2,1,2,2,1,4,4,2,0,0,1,34,1,5,1,5,58624.834789,60103.695828,1,116,15,15,5
75823,8,2,2,43,,5,7,1,,2,,2,1,6,,5,1,2,1,2,2,1,2,2,1,2,2,1,7,7,0,2,0,2,43,2,5,1,2,51223.793769,53223.897226,1,108,15,15,3.37
75824,8,2,2,50,,3,3,2,,2,,1,1,,,3,3,,1,2,2,1,2,2,1,2,2,1,1,1,0,0,0,2,50,1,3,3,,27790.555024,29691.199627,1,110,4,4,1.31
75825,8,2,2,40,,5,6,2,,2,,2,2,3,,5,1,2,1,2,2,1,2,2,1,2,2,1,4,4,1,1,0,2,40,2,5,1,5,14689.126638,15973.582478,2,112,7,7,1.68
75826,8,2,1,70,,1,1,2,,2,,1,1,,,3,1,,1,2,2,1,2,2,1,2,2,,3,3,0,1,2,1,70,1,3,1,4,13846.32795,13836.641113,1,109,7,7,2.05
75827,8,2,2,14,,5,7,2,175,,,1,1,,8,,,,1,1,2,1,2,2,1,2,2,1,5,5,0,3,0,1,30,1,4,6,,13479.173461,14163.771716,1,105,14,14,3.08
75828,8,2,2,43,,3,3,2,,2,,1,1,,,3,1,2,1,2,2,1,2,2,1,2,2,1,3,3,1,0,0,2,43,1,3,1,3,91249.402337,96040.942105,2,113,14,14,4.55
75829,8,2,1,5,,1,1,1,61,,,1,1,,,,,,2,1,2,2,2,2,,,,,6,6,2,0,0,2,33,2,3,6,,11577.645237,11723.152522,1,117,4,4,0.47
75830,8,2,2,18,,4,4,1,218,2,,1,1,,11,,,,1,2,2,1,2,2,1,2,2,1,7,3,2,4,0,2,49,1,5,3,,12340.947943,12465.393395,1,112,14,14,4.1
75831,8,2,2,34,,3,3,2,,2,,1,1,,,5,1,2,1,2,2,1,2,2,1,2,2,1,2,2,0,0,0,1,32,1,5,1,5,107737.369017,108445.301937,1,105,15,15,5
75832,8,2,2,14,,1,1,2,169,,,1,1,,7,,,,2,1,2,1,2,2,1,2,2,1,5,5,0,2,0,2,41,2,1,6,,18152.780365,18270.598752,2,112,6,6,0.9
75833,8,2,1,15,,4,4,2,185,,,1,1,,7,,,,1,1,2,1,2,2,1,2,2,1,7,7,0,4,1,2,38,1,2,1,,9059.324666,9981.580798,1,104,8,8,1.29
75834,8,2,1,0,7,5,7,2,8,,,1,1,,,,,,1,1,2,1,2,2,,,,,5,5,2,0,0,2,19,1,2,,,4987.55281,5176.784454,2,112,6,6,0.99
75835,8,2,1,31,,3,3,1,,2,,1,1,,,4,5,,1,2,2,1,2,2,1,2,2,1,3,1,0,0,0,2,33,,,3,,70109.846944,72488.531154,2,106,15,10,5
75836,8,2,1,16,,5,7,2,195,,,1,1,,9,,,,1,2,2,1,2,2,1,2,2,1,4,4,0,1,0,2,54,2,5,1,5,12901.357811,12630.100763,1,104,15,15,5
75837,8,2,1,55,,3,3,2,,1,2,1,1,,,3,1,,1,2,2,1,2,2,1,2,2,1,7,7,0,0,0,1,55,1,3,1,3,76594.574302,77146.195438,1,105,14,14,2.27
75838,8,2,1,80,,3,3,2,,1,2,1,1,,,3,1,,1,2,2,1,2,2,1,2,2,,2,2,0,0,2,1,80,1,3,1,5,29262.26112,30874.138,1,104,14,14,5
75839,8,2,2,40,,4,4,1,,2,,2,2,2,,2,1,2,1,2,1,1,2,1,,,,,5,5,1,2,0,1,49,2,1,1,2,22566.402094,22284.102295,1,108,6,6,1.16
75840,8,2,1,52,,3,3,1,,2,,1,1,,,5,1,,1,2,2,1,2,2,1,2,2,1,2,2,0,0,0,1,52,1,5,1,5,120938.407068,121809.384969,2,114,15,15,5
75841,8,2,2,41,,3,3,2,,2,,1,1,,,4,1,2,1,2,2,1,2,2,,,,,2,2,0,0,0,1,44,1,2,1,4,95089.873372,93948.713016,2,112,7,7,2.54
75842,8,2,1,23,,5,7,1,,2,,1,1,,,3,5,,1,2,2,1,2,2,1,2,2,1,5,5,0,1,1,2,42,1,2,1,2,30261.750312,33112.191897,2,115,77,77,
75843,8,2,2,0,0,1,1,2,1,,,1,1,,,,,,2,1,2,1,2,1,,,,,6,6,3,0,0,2,26,2,2,1,2,7245.461322,7158.614313,1,106,8,8,1.58
75844,8,2,2,16,,3,3,1,194,,,1,1,,10,,,,1,2,2,1,2,2,1,2,2,1,5,4,0,1,0,2,48,1,3,3,,68199.411632,69855.476024,2,115,15,15,5
75845,8,2,1,59,,1,1,2,,2,,2,2,8,,4,4,,1,2,2,1,2,2,1,2,2,1,3,3,0,0,0,1,59,2,4,4,,18463.262885,18734.428205,1,114,8,8,2.56
75846,8,2,2,7,,1,1,1,88,,,1,1,,0,,,,2,1,2,2,2,2,,,,,5,5,0,4,0,2,38,2,4,4,,14863.81325,14796.655359,1,111,2,2,0.29
75847,8,2,2,6,,4,4,1,77,,,1,1,,1,,,,1,1,2,1,2,2,,,,,4,4,0,2,0,1,47,2,4,1,,9294.287625,9182.595945,1,108,12,12,
75848,8,2,1,59,,3,3,2,,2,,1,1,,,5,1,,1,2,2,1,2,2,1,2,2,1,2,2,0,0,0,1,59,1,5,1,5,139320.855635,140324.220813,1,105,15,15,5
75849,8,2,2,3,,2,2,2,45,,,1,1,,,,,,1,1,2,1,2,2,,,,,3,3,1,0,1,2,70,2,1,2,,16419.515173,17141.503406,1,109,3,3,0.51
75850,8,2,2,37,,5,6,2,,2,,2,2,5,,5,1,2,1,2,2,1,2,2,1,2,2,1,7,7,1,0,3,2,37,2,5,1,5,16201.021749,16731.093409,2,104,15,15,5
75851,8,2,1,11,,2,2,2,138,,,1,1,,5,,,,1,1,2,1,2,2,1,2,2,1,4,4,0,1,0,1,53,2,5,1,5,13207.210139,13664.432198,1,104,15,15,5
75852,8,2,1,7,,3,3,2,85,,,1,1,,2,,,,1,1,2,1,2,2,,,,,4,4,0,2,0,1,41,1,5,1,5,39849.768852,43938.606937,1,110,15,15,5
75853,8,2,2,19,,1,1,2,239,2,,2,2,2,11,,,,2,2,2,2,2,2,2,2,2,2,4,4,3,0,0,2,19,2,2,,,18003.588276,18259.438851,1,110,3,3,0.55
75854,8,2,1,18,,3,3,2,221,2,,1,1,,13,,,,1,2,2,1,2,2,1,2,2,1,3,3,0,1,0,2,44,1,5,3,,59123.958559,64069.672991,1,110,8,8,2.46
75855,8,2,2,34,,3,3,2,,2,,1,1,,,4,1,2,1,2,2,1,2,2,1,2,2,1,3,3,1,0,0,1,28,1,3,1,4,103190.161514,104811.617948,2,107,8,8,2.53
75856,8,2,2,28,,2,2,1,,2,,1,1,,,4,1,2,1,2,2,1,2,2,1,2,2,1,3,3,1,0,0,1,25,1,5,1,4,54764.120386,60100.93497,1,106,8,8,2.3
75857,8,2,2,7,,4,4,2,95,,,1,1,,2,,,,1,1,2,1,2,2,,,,,5,5,1,2,0,1,42,2,5,1,4,12734.470806,12581.437622,2,112,14,14,3.4
75858,8,2,2,20,,4,4,2,,2,,1,1,,,3,5,1,1,2,2,1,2,2,1,2,2,1,4,4,0,1,0,2,42,1,4,5,,39290.220861,39705.467613,2,108,7,7,1.47
75859,8,2,2,11,,1,1,2,140,,,1,1,,5,,,,1,1,2,1,2,2,1,2,2,1,5,5,1,2,0,1,57,1,5,1,4,17751.523773,17671.318587,1,109,15,15,4.17
75860,8,2,1,60,,5,6,2,,2,,2,1,9,,5,1,,1,2,2,1,2,2,1,2,2,1,2,2,0,0,1,1,60,2,5,1,4,22313.031151,23631.715249,2,112,14,14,4.77
75861,8,2,2,52,,4,4,2,,2,,1,1,,,5,3,,1,2,2,1,2,2,1,2,2,1,2,2,0,0,0,2,52,1,5,3,,28474.728068,28118.516653,1,112,9,9,3.55
75862,8,2,2,10,,2,2,2,124,,,1,1,,3,,,,1,1,2,1,2,2,1,2,2,1,5,5,2,1,0,1,38,2,5,1,5,18881.877722,19205.586265,2,107,7,7,1.5
75863,8,2,2,62,,5,7,2,,2,,1,1,,,3,2,,1,2,2,1,2,2,1,2,2,1,1,1,0,0,1,2,62,1,3,2,,53887.574074,55768.079059,2,117,13,13,
75864,8,2,2,4,,4,4,2,60,,,1,1,,,,,,1,1,2,1,2,2,,,,,4,4,2,0,0,2,34,2,4,1,3,11046.141143,11575.283937,2,110,6,6,1.05
75865,8,2,2,5,,4,4,1,65,,,1,1,,,,,,1,1,2,1,2,2,,,,,7,7,3,4,0,2,41,1,2,1,2,10943.500588,11327.801291,2,111,1,1,0.07
75866,8,2,1,12,,1,1,2,145,,,1,1,,5,,,,1,1,2,1,2,2,1,2,2,1,6,6,0,3,0,1,40,1,3,1,3,30051.787272,29549.068893,2,109,14,14,2.5
75867,8,2,1,1,22,5,6,2,22,,,1,1,,,,,,1,1,2,1,2,2,,,,,3,3,1,0,0,2,34,2,5,1,5,5497.665259,7636.077827,2,117,15,15,5
75868,8,2,2,0,7,3,3,2,7,,,1,1,,,,,,1,1,2,1,2,2,,,,,4,4,2,0,0,1,26,1,2,6,,15422.986938,15276.362336,2,113,10,10,2.81
75869,8,2,1,27,,4,4,2,,2,,1,1,,,4,1,,1,2,2,1,2,2,1,2,2,1,4,4,1,1,0,1,27,1,4,1,4,28561.447138,28297.94667,2,105,8,8,1.89
75870,8,2,2,40,,2,2,1,,2,,1,1,,,5,1,2,1,2,2,1,2,2,1,2,2,1,5,5,2,1,0,2,40,1,5,1,,34458.688136,34135.488394,1,111,9,9,2.18
75871,8,2,2,57,,3,3,1,,2,,1,1,,,5,1,,1,2,2,1,2,2,1,2,2,1,2,2,0,0,1,2,57,1,5,1,5,84374.634735,86164.881986,1,116,8,8,3.48
75872,8,2,2,21,,4,4,1,,2,,1,1,,,3,6,2,1,2,2,1,2,2,1,2,2,1,3,3,1,0,0,2,21,1,3,6,,26197.604584,27051.976272,1,112,3,3,0.72
75873,8,2,1,9,,3,3,2,109,,,1,1,,3,,,,1,1,2,1,2,2,1,2,2,1,6,6,1,3,0,2,37,1,4,1,5,28607.538933,29081.050893,1,110,15,15,3.17
75874,8,2,1,57,,3,3,2,,2,,1,1,,,5,1,,1,2,2,1,2,2,1,2,2,1,3,3,0,0,0,2,22,1,4,5,,133545.48139,134566.906107,2,107,8,8,2.43
75875,8,2,1,14,,4,4,1,169,,,1,1,,6,,,,1,1,2,1,2,2,1,2,2,1,5,5,0,3,0,1,33,1,3,1,,11245.346243,12070.157434,2,114,6,6,1.04
75876,8,2,1,4,,3,3,1,59,,,1,1,,,,,,1,1,2,1,2,2,,,,,4,4,1,1,0,2,37,1,5,1,5,35943.870056,38755.841536,2,114,15,15,4.19
